Saara Zamana,"Kumar, Kishore"
Something in Red,"Morgan, Lorrie"
Something in the Way,Nirvana
Something To Talk About,Badly Drawn Boy
Something Wicked This Way Comes,"Adamson, Barry"
Something's Gotten Hold of My Heart,"Pitney, Gene & Marc Almond"
Sometime Around Midnight,Airborne Toxic Event
Sometimes,James
Sometimes Always,Jesus and Mary Chain
Sometimes I Feel Like a Motherless Child,"Marsalis, Wynton"
Sometimes I Wish I Had a Gun,Mink Stole
Somewhere Only We Know,Keane
Sommerfuggel i Vinterland (Butterfly in Winterland),"Siversten, Halvdan"
Song About the Moon,Simon and Garfunkel
Song for Europe,Roxy Music
Song for Whoever,Beautiful South
Song in the Blood,"Baez, Joan"
Song of a Baker,Small Faces
Song of the Black Lizard,Pink Martini
Song of the Shrimp,"Black, Frank"
Song to the Siren,This Mortal Coil
Song to the Siren,"Buckley, Tim"
Song to the Siren,Chemical Brothers
Song Without a Chorus,"Walker, Butch"
Sonnet 29,"Wainwright, Rufus"
Sonnet to Hank Cinq,"Ellington, Duke"
Sonny's Lettah (Anti Sus Poem),"Johnson, Linton Kwesi"
Sons of the Stage,World of Twist
Sophisticated Lady,"Holiday, Billie"
Sophisticated Lady,"Ellington, Duke"
"Sorrow, Tears and Blood","Kuti, Fela"
Sorry,Sebadoh
Sorry,"Polwart, Karine"
Sorry for Laughing,Josef K
Soul Bossa Nova,"Jones, Quincy"
Soul Finger,Bar-Keys
Soul Fire,"Perry, Lee ""Scratch"""
Soul of a Man,"Johnson, Blind Willie"
Soul Roots,Edward's World
Soul Vaccination,Tower of Power
Sound of Da Police,KRS-One
Sound System,Steel Pulse
Sounds of the Suburbs,Members
Sounds of Then (This is Australia),GANGgajang
Soup,Tunng
Soup Song,"Wyatt, Robert"
South American Getaway,"Bacharach, Burt"
South London Boroughs,Burial
South London Boroughs,Burial
Southern Cross,"Crosby, Stills & Nash"
Souvenirs,"Goodman, Steve and John Prine"
Soweto Blues,"Makeba, Miriam"
Space City,"Jones, Booker T and the Drive-By Truckers"
Space Flight,"Perry, Lee & Roy, I."
Space Guitar,"Watson, Johnny ""Guitar"""
Space Invaders,Piranhas
Space is the Place,Jonzun Crew
Space is the Place,Sun Ra
Space Monkey,"Prine, John"
Space Oddity,"Bowie, David"
Space Oddity,Langley Schools Music Project
Space Walk,Lemon Jelly
Spacelab,Kraftwerk
Spacer,Sheila and B Devotion
Spaceship,"West, Kanye featuring GLC and Consequence"
Spam,Monty Python
Spancil Hill,Dubliners
Spanish Lady,Dubliners
Spanish Pipedream,"Prine, John"
Spare Parts,"Springsteen, Bruce"
Speaking With the Angel,"Sexsmith, Ron"
Speed,Bran Van 3000
Speed,Ron Wray Light Show
Speed King,Deep Purple
Speed of the Sound of Loneliness,"Griffith, Nanci"
Speeding Motorcycle,"Johnston, Daniel"
Spem in Alium,Tallis Scholars
Spencer the Rover,"Martyn, John"
Spidey's Wild Ride,"Waits, Tom"
Spiegel im Spiegel,"P?rt, Arvo"
Spiegelsaal,Kraftwerk
Spinning Away,"Eno, Brian and John Cale"
Spiral Galaxy 28948,Hawkwind
Spiral Jetty,And You Will Know Us By the Trail of Dead
Spirit of the Falklands,New Model Army
Spit on a Stranger,Pavement
Spooky,"Springfield, Dusty"
Sport (the odd boy),Bonzo Dog Band
Spotlight (Oh Nostalgia),"Stump, Patrick"
Spring Again,"Markie, Biz"
Spring Can Really Hang You Up the Most,"McRae, Carmen"
Spring Cleaning,"Waller, Fats"
Spring Rain,Go-Betweens
Springtime Can Kill You,"Holland, Jolie"
Sproston Green,Charlatans
Square One,Restarts
Squid Jiggin' Grounds,"Snow, Hank"
S-S-Single Bed,Fox
St. Bernard,"Sexsmith, Ron"
St. James Infirmary Blues,"Armstrong, Louis"
St. Stephen,Grateful Dead
St. Swithin`s Day,"Bragg, Billy"
Staccato's Theme,"Bernstein, Elmer"
Stack O' Lee Blues,"John Hurt, Mississippi"
Stack-a-Records,"Tall, Tom"
Stacy's Mom,Fountains of Wayne
Stage Fright,Band
Stagger Lee,"Price, Lloyd"
Stairway of Dreams (The Stair),Adultchild
Stairway to Heaven,Rodrigo y Gabriela
Stairway to Heaven,Led Zeppelin
Stan,Eminem
Stand and Deliver,Adam and the Ants
Stand By Me,"King, Ben E."
Stand By Your Guns,Full English
Stand My Ground,Within Temptation
Stand!,Sly and the Family Stone
Standing Here Crying,Incredibles
Standing in the Shadows of Love,Four Tops
Standing on the Promise,Tennessee Mountaineers
Stanlow,OMD
Star,"Bowie, David"
Star Sign,Teenage Fanclub
Star Sign,Teenage Fanclub
Star Wars OST,"Williams, John"
Stardog Champion,Mother Love Bone
Starfish and Coffee,Prince
Stargazer,Rainbow
Starless & Bible Black,Stan Tracey Quartet
Starman,"Bowie, David"
Stars of Track and Field,Belle and Sebastian
State Trooper,"Springsteen, Bruce"
State Violence State Control,Discharge
Station Approach,Elbow
Station to Station,"Bowie, David"
Statue of Liberty,"Anderson, Laurie"
Stay Free,Clash
Stay Inside,"Chesnutt, Vic"
Stay Positive,Streets
Stay Together,Suede
Stay Up Late,Talking Heads
Stay With Me,"Ellison, Lorraine"
Stay With Me,Faces
Stay With Me Baby,"Turner, Ruby"
Stayin' Alive,Bee Gees
Steal Away,"James, Etta"
Steal My Sunshine,LEN
Stealing in the Name of the Lord,"Romeo, Max & the Upsetters"
Stealing in the Name of the Lord,"Kelly, Paul"
Stealing People's Mail,Dead Kennedys
Steelworker,Big Black
Step It Up,Stereo MCs
Steppin' Out,"Jackson, Joe"
Steppin' Razor,"Tosh, Peter"
Steve McQueen,Drive-by Truckers
Stevie Smith,"Chesnutt, Vic"
Stiff Upper Lip,"Fitzgerald, Ella"
Stiletto,"Joel, Billy"
Still in Love With You,"Green, Al"
Stimela,"Masekela, Hugh"
Stimmung Model 11,"Stockhausen, Karlheinz"
Stink-Foot,"Zappa, Frank"
Stitch in Time,"Prior, Maddy"
Stonehenge,Spinal Tap
Stool Pigeon,Kid Creole & the Coconuts
Stop,Plasmatics
Stop the Nonsense,Wing
Stop Your Sobbing,Pretenders
Storm,"Minchin, Tim"
Stormy Weather,"James, Etta"
Straight for the Knife,Sia
Straight Outta Compton,NWA
Straight to Hell,Clash
Strange Fruit,"Holiday, Billie"
Strange Fruit,"Holiday, Billie"
Stranger Blues,"James, Elmore"
Strangers in the Night,"Sinatra, Frank"
Strasbourg,Rakes
Strawberries,"Seksu, Asobi"
Strawberry Letter 23,"Otis, Shuggie"
Strawberry Wine,"Carter, Deana"
Strawbery Fields Forever,Beatles
Streams of Whisky,Pogues
Street Hassle,"Reed, Lou"
Street Life,Crusaders ft Randy Crawford
Streets Of Calcutta,"Shankar, Ananda"
Streets of Sorrow/Birmingham Six,Pogues
Streets of Your Town,Go-Betweens
Stress (Auto Remix),Justice
Strict Machine,Goldfrapp
String of Pearls,Soul Asylum
"String Quartet in E Flat Major ""The Joke""","Haydn, Josef"
Strings of Life,Rhythim is Rhythim
Stuck in the Middle With You,Stealers Wheel
Stupid Girl,Rolling Stones
Subdivisions,Rush
Submarine Bells,Chills
Subterranean World (How Long?),"Lane, Anita and Blixa Bargeld"
Subterraneans,"Bowie, David"
Suburban Dream,Martha and the Muffins
Success,"Lynn, Loretta"
Success,"Pop, Iggy"
Such Great Heights,Postal Service
Suddenly I See,"Tunstall, KT"
Suffering Jukebox,Silver Jews
Suffocated Love,Tricky
Suffocated Love,Tricky
Sugar Hiccup,Cocteau Twins
Sugar Kane,Sonic Youth
Sugar Mountain,"Young, Neil"
Sugar Town,"Sinatra, Nancy"
Summer (the First Time),"Goldsboro, Bobby"
Summer Breeze,Seals and Croft
Summer Breeze,Isley Brothers
Summer in the City,"Spektor, Regina"
Summer in the City,Lovin Spoonful
Summer of '69,"Adams, Bryan"
Summer of 81,Violators
Summer Skin,Death Cab for Cutie
Summer Wine,"Sinatra, Nancy & Lee Hazlewood"
Summertime,"Stewart, Billy"
Summertime,"Nelson, Ricky"
Summertime Blues,"Cochran, Eddie"
Sun City,Artists United Against Apartheid
"Sun Comes Up, It's Tuesday Morning",Cowboy Junkies
Sun in My Mouth,Bjork
Sunday Bloody Sunday,U2
Sunday Girl (French Version),Blondie
Sunday Morning,Velvet Underground
Sunday Morning,"Guryan, Margo"
Sunday Morning Coming Down,"Kristofferson, Kris"
Sunday Papers,"Jackson, Joe"
Sunday Sunday,Blur
Sunday Times,"Wainwright, Loudon III"
Sunny,"Hebb, Bobby"
Sunny Afternoon,Kinks
Sunny Goodge Street,Donovan
Sunrise,Pulp
Sunrise,Divine Comedy
Sunset,Roxy Music
Sunshine,Jungle Brothers
Sunshine Superman,Donovan
Superman Lover,"Watson, Johnny 'Guitar'"
Supermassive Black Hole,Muse
Supernature,Cerrone
Superstar,Sonic Youth
Superstition,"Wonder, Stevie"
Superwoman,"Keys, Alicia"
Sure Had a Wonderful Time Last Night,"Jordan, Louis"
Surf City,Jan & Dean
Surfin' Bird,Trashmen
Surfing With the Alien,"Satriani, Joe"
Surf's Up,Beach Boys
Survivor,Destiny's Child
Suspect Device,Stiff Little Fingers
Suspended Sentence,"Clarke, John Cooper"
Suspicious Minds,"Presley, Elvis"
Swan Lake (Death Disco),Public Image Ltd
"Sweat (A, la, la)",Inner Circle
Sweedeedee,"Hurley, Michael"
Sweet Child of Mine,Taken by Trees
Sweet Child O'Mine,Guns N Roses
Sweet Emotion,Aerosmith
Sweet Gene Vincent,"Dury, Ian & the Blockheads"
Sweet Home Alabama,Lynyrd Skynyrd
Sweet Like Chocolate,Shanks And Bigfoot
Sweet Little Sixteen,"Berry, Chuck"
Sweet September,"Evans, Bill"
Sweet September Morning,"Sainte-Marie, Buffy"
Sweet Song,Blur
Sweet Soul Music,"Conley, Arthur"
Sweetest Smile,Black
Swinging Doors,"Haggard, Merle"
Sylvia Plath,"Adams, Ryan"
Sympathy For the Devil,Rolling Stones
Symphony No 8,"Mahler, Gustav"
